date,code,name,score,stars,rank,entry_close,ret_5d,status_5d,ret_10d,status_10d,ret_20d,status_20d,ret_60d,status_60d,reasons
2026-06-24,402340,SK스퀘어,70.7,3,1,1799000.0,-15.23,ok,-21.68,ok,,insufficient,,insufficient,거래대금 3위 | 영업이익 성장 +366% | 정배열 · MACD 강세 · OBV 매집
2026-06-24,290650,엘앤씨바이오,68.2,3,2,94200.0,-6.9,ok,-22.82,ok,,insufficient,,insufficient,거래대금 86위 | 영업이익 성장 +650% | PEG 0.00 (저평가) | 60일 신고가 돌파 | 정배열 · MACD 강세 · OBV 매집
2026-06-24,005930,삼성전자,65.9,3,3,340500.0,-16.01,ok,-16.3,ok,,insufficient,,insufficient,거래대금 2위 | 영업이익 성장 +739% | PEG 0.01 (저평가) | 정배열 · OBV 매집
2026-06-24,005935,삼성전자우,65.9,3,4,213500.0,-11.62,ok,-8.99,ok,,insufficient,,insufficient,거래대금 5위 | 영업이익 성장 +739% | PEG 0.01 (저평가) | 정배열 · OBV 매집
2026-06-24,034730,SK,65.3,3,5,712000.0,-4.07,ok,-7.72,ok,,insufficient,,insufficient,거래대금 20위 | 영업이익 성장 +380% | 60일 고가 근접 | 정배열 · MACD 강세 · OBV 매집
2026-06-24,000850,화천기공,63.5,2,6,37700.0,-7.96,ok,11.41,ok,,insufficient,,insufficient,영업이익 성장 +700% | PEG 0.00 (저평가) | 거래량 6.9배 폭증 | MACD 강세 · OBV 매집
2026-06-24,088910,동우팜투테이블,62.4,2,7,2570.0,-10.89,ok,-14.59,ok,,insufficient,,insufficient,영업이익 성장 +407% | PEG 0.00 (저평가) | 60일 고가 근접 | 거래량 4.3배 폭증 | MACD 강세 · OBV 매집
2026-06-24,026940,부국철강,62.0,2,8,3455.0,-29.67,ok,-29.09,ok,,insufficient,,insufficient,거래대금 42위 | 영업이익 성장 +200% | PEG 0.04 (저평가) | 거래량 8.6배 폭증 | MACD 강세 · OBV 매집
2026-06-24,091590,남화토건,62.0,2,9,5980.0,73.24,ok,49.0,ok,,insufficient,,insufficient,영업이익 성장 +290% | 60일 신고가 돌파 | 거래량 2.5배 | MACD 강세 · OBV 매집
2026-06-24,196170,알테오젠,61.3,2,10,371500.0,-5.38,ok,-12.79,ok,,insufficient,,insufficient,거래대금 11위 | 영업이익 성장 +321% | MACD 강세 · OBV 매집
2026-06-24,420770,기가비스,61.2,2,11,155800.0,12.2,ok,5.58,ok,,insufficient,,insufficient,영업이익 성장 +772% | PEG 0.25 (저평가) | 60일 고가 근접 | 정배열 · MACD 강세
2026-06-24,000660,SK하이닉스,60.0,2,12,2580000.0,-15.23,ok,-15.5,ok,,insufficient,,insufficient,거래대금 1위 | 영업이익 성장 +462% | 정배열 · MACD 강세 · OBV 매집
2026-06-25,034730,SK,85.3,4,1,858000.0,-22.26,ok,-32.05,ok,,insufficient,,insufficient,거래대금 6위 | 영업이익 성장 +426% | 60일 신고가 돌파 | 거래량 2.7배 | 정배열 · MACD 강세 · OBV 매집
2026-06-25,005935,삼성전자우,75.3,3,2,235000.0,-9.57,ok,-24.72,ok,,insufficient,,insufficient,거래대금 4위 | 영업이익 성장 +739% | PEG 0.01 (저평가) | 60일 신고가 돌파 | 정배열 · OBV 매집
2026-06-25,058730,다스코,72.5,3,3,4105.0,-14.01,ok,16.08,ok,,insufficient,,insufficient,거래대금 57위 | 영업이익 성장 +217% | PEG 0.01 (저평가) | 60일 신고가 돌파 | 거래량 7.3배 폭증 | MACD 강세 · OBV 매집
2026-06-25,000660,SK하이닉스,72.0,3,4,2917000.0,-19.68,ok,-36.75,ok,,insufficient,,insufficient,거래대금 1위 | 영업이익 성장 +463% | 60일 고가 근접 | 정배열 · MACD 강세 · OBV 매집
2026-06-25,005930,삼성전자,71.8,3,5,358500.0,-11.3,ok,-29.01,ok,,insufficient,,insufficient,거래대금 2위 | 영업이익 성장 +739% | PEG 0.01 (저평가) | 60일 고가 근접 | 정배열 · OBV 매집
2026-06-25,402340,SK스퀘어,68.0,3,6,1899000.0,-21.27,ok,-38.86,ok,,insufficient,,insufficient,거래대금 3위 | 영업이익 성장 +366% | 정배열 · MACD 강세 · OBV 매집
2026-06-25,196170,알테오젠,68.0,3,7,375000.0,-11.73,ok,-15.6,ok,,insufficient,,insufficient,거래대금 12위 | 영업이익 성장 +321% | 60일 고가 근접 | MACD 강세 · OBV 매집
2026-06-25,290650,엘앤씨바이오,63.5,2,8,97100.0,-19.46,ok,-28.42,ok,,insufficient,,insufficient,영업이익 성장 +693% | PEG 0.00 (저평가) | 60일 신고가 돌파 | 정배열 · MACD 강세 · OBV 매집
2026-06-25,420770,기가비스,60.0,2,9,161500.0,-6.19,ok,0.31,ok,,insufficient,,insufficient,영업이익 성장 +772% | PEG 0.25 (저평가) | 60일 신고가 돌파 | 정배열 · MACD 강세
