band,recommendations,horizon_days,count,mean_pct,win_rate_pct,max_loss_pct,mdd_pct
95+,0,5,0,,,,
95+,0,10,0,,,,
95+,0,20,0,,,,
95+,0,60,0,,,,
90+,1,5,1,0.38,100.0,0.38,-15.58
90+,1,10,0,,,,
90+,1,20,0,,,,
90+,1,60,0,,,,
85+,2,5,2,-10.94,50.0,-22.26,-17.99
85+,2,10,1,-32.05,0.0,-32.05,-32.05
85+,2,20,0,,,,
85+,2,60,0,,,,
80+,8,5,5,-24.5,20.0,-38.91,-28.08
80+,8,10,4,-23.48,0.0,-32.05,-31.21
80+,8,20,0,,,,
80+,8,60,0,,,,
75+,15,5,11,-19.76,9.1,-38.91,-19.84
75+,15,10,5,-23.73,0.0,-32.05,-28.91
75+,15,20,0,,,,
75+,15,60,0,,,,
