date,code,name,score,rank,penalty,avail_max,ind_ma_up,ind_macd_bull,ind_obv_up,rsi,거래대금_earned,거래대금_max,거래대금_avail,실적_earned,실적_max,실적_avail,밸류_earned,밸류_max,밸류_avail,수급_earned,수급_max,수급_avail,신고가_earned,신고가_max,신고가_avail,거래량증가_earned,거래량증가_max,거래량증가_avail,차트_earned,차트_max,차트_avail,누적등장_earned,누적등장_max,누적등장_avail,ret_5d,ret_10d
2026-06-24,402340,SK스퀘어,70.7,1,0.0,75,1,1,1,69.0,15,15,1,20.0,20,1,0,10,0,0,15,0,4,10,1,4,10,1,10.0,10,1,0,10,1,-15.23,-21.68
2026-06-24,290650,엘앤씨바이오,68.2,2,0.0,85,1,1,1,65.0,8,15,1,20.0,20,1,10,10,1,0,15,0,10,10,1,0,10,1,10.0,10,1,0,10,1,-6.9,-22.82
2026-06-24,005930,삼성전자,65.9,3,0.0,85,1,0,1,56.1,15,15,1,20.0,20,1,10,10,1,0,15,0,4,10,1,0,10,1,7.0,10,1,0,10,1,-16.01,-16.3
2026-06-24,005935,삼성전자우,65.9,4,0.0,85,1,0,1,54.6,15,15,1,20.0,20,1,10,10,1,0,15,0,4,10,1,0,10,1,7.0,10,1,0,10,1,-11.62,-8.99
2026-06-24,034730,SK,65.3,5,0.0,75,1,1,1,64.5,12,15,1,20.0,20,1,0,10,0,0,15,0,7,10,1,0,10,1,10.0,10,1,0,10,1,-4.07,-7.72
2026-06-24,000850,화천기공,63.5,6,0.0,85,0,1,1,64.8,4,15,1,20.0,20,1,10,10,1,0,15,0,4,10,1,10,10,1,6.0,10,1,0,10,1,-7.96,11.41
2026-06-24,088910,동우팜투테이블,62.4,7,0.0,85,0,1,1,61.6,0,15,1,20.0,20,1,10,10,1,0,15,0,7,10,1,10,10,1,6.0,10,1,0,10,1,-10.89,-14.59
2026-06-24,026940,부국철강,62.0,8,0.0,85,0,1,1,68.9,8,15,1,14.7,20,1,10,10,1,0,15,0,4,10,1,10,10,1,6.0,10,1,0,10,1,-29.67,-29.09
2026-06-24,091590,남화토건,62.0,9,0.0,75,0,1,1,77.5,4,15,1,19.5,20,1,0,10,0,0,15,0,10,10,1,7,10,1,6.0,10,1,0,10,1,73.24,49.0
2026-06-24,196170,알테오젠,61.3,10,0.0,75,0,1,1,54.6,12,15,1,20.0,20,1,0,10,0,0,15,0,4,10,1,4,10,1,6.0,10,1,0,10,1,-5.38,-12.79
2026-06-24,420770,기가비스,61.2,11,0.0,85,1,1,0,62.6,4,15,1,20.0,20,1,10,10,1,0,15,0,7,10,1,4,10,1,7.0,10,1,0,10,1,12.2,5.58
2026-06-24,000660,SK하이닉스,60.0,12,0.0,75,1,1,1,61.1,15,15,1,20.0,20,1,0,10,0,0,15,0,0,10,1,0,10,1,10.0,10,1,0,10,1,-15.23,-15.5
2026-06-24,080220,제주반도체,59.5,13,0.0,85,1,0,1,56.8,15,15,1,18.6,20,1,10,10,1,0,15,0,0,10,1,0,10,1,7.0,10,1,0,10,1,-20.55,-21.08
2026-06-24,240810,원익IPS,56.0,14,0.0,75,1,1,1,53.8,12,15,1,20.0,20,1,0,10,0,0,15,0,0,10,1,0,10,1,10.0,10,1,0,10,1,-12.62,-17.0
2026-06-24,089970,브이엠,56.0,15,0.0,75,1,1,1,60.3,8,15,1,20.0,20,1,0,10,0,0,15,0,4,10,1,0,10,1,10.0,10,1,0,10,1,6.65,10.83
2026-06-24,058730,다스코,53.6,16,0.0,85,0,1,1,55.8,4,15,1,15.6,20,1,10,10,1,0,15,0,0,10,1,10,10,1,6.0,10,1,0,10,1,18.83,59.18
2026-06-24,009420,한올바이오파마,52.0,17,0.0,85,0,0,1,57.1,8,15,1,18.2,20,1,8,10,1,0,15,0,0,10,1,7,10,1,3.0,10,1,0,10,1,6.48,-2.05
2026-06-24,036090,위지트,51.5,18,0.0,75,0,1,1,74.2,4,15,1,8.6,20,1,0,10,0,0,15,0,10,10,1,10,10,1,6.0,10,1,0,10,1,-26.94,-28.6
2026-06-24,043650,국순당,51.2,19,0.0,85,0,1,1,72.7,4,15,1,3.5,20,1,10,10,1,0,15,0,10,10,1,10,10,1,6.0,10,1,0,10,1,-8.98,-15.0
2026-06-24,093370,후성,50.7,20,0.0,75,1,1,1,58.8,8,15,1,20.0,20,1,0,10,0,0,15,0,0,10,1,0,10,1,10.0,10,1,0,10,1,-16.83,-25.16
2026-06-24,122640,예스티,50.7,21,0.0,75,1,1,1,61.2,4,15,1,20.0,20,1,0,10,0,0,15,0,4,10,1,0,10,1,10.0,10,1,0,10,1,-12.0,-16.0
2026-06-24,056090,시지메드텍,50.6,22,0.0,85,0,1,1,45.1,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,7,10,1,6.0,10,1,0,10,1,-22.51,-19.8
2026-06-24,001795,대한제당우,50.4,23,0.0,85,0,1,1,69.9,0,15,1,6.8,20,1,10,10,1,0,15,0,10,10,1,10,10,1,6.0,10,1,0,10,1,-20.43,-16.73
2026-06-24,028260,삼성물산,50.2,24,0.0,85,1,0,1,55.8,15,15,1,4.7,20,1,8,10,1,0,15,0,4,10,1,4,10,1,7.0,10,1,0,10,1,-15.58,-18.69
2026-06-24,319660,피에스케이,48.4,25,0.0,85,1,1,1,62.9,8,15,1,9.1,20,1,10,10,1,0,15,0,4,10,1,0,10,1,10.0,10,1,0,10,1,7.84,11.61
2026-06-24,006400,삼성SDI,48.2,26,0.0,85,0,0,1,39.6,12,15,1,16.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,-3.78,-11.25
2026-06-24,042660,한화오션,48.2,27,0.0,85,0,0,1,41.6,8,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,-1.42,-23.3
2026-06-24,353200,대덕전자,48.2,28,0.0,85,0,0,1,43.5,8,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,-5.14,-12.45
2026-06-24,004710,한솔테크닉스,48.2,29,0.0,85,1,0,1,48.1,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,7.0,10,1,0,10,1,-15.97,-22.09
2026-06-24,126640,화신정공,48.2,30,0.0,85,1,0,1,58.3,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,7.0,10,1,0,10,1,-13.13,-14.41
2026-06-24,009150,삼성전기,47.1,31,0.0,85,1,0,1,58.2,15,15,1,8.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,7.0,10,1,0,10,1,-1.93,-19.35
2026-06-24,009155,삼성전기우,47.1,32,0.0,85,1,1,1,63.1,12,15,1,8.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,10.0,10,1,0,10,1,-15.01,-29.9
2026-06-24,004310,현대약품,47.1,33,0.0,85,0,1,1,53.3,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,6.0,10,1,0,10,1,-32.55,-35.89
2026-06-24,204270,제이앤티씨,47.1,34,0.0,85,0,1,1,61.0,4,15,1,13.0,20,1,10,10,1,0,15,0,7,10,1,0,10,1,6.0,10,1,0,10,1,-29.67,-20.67
2026-06-24,419050,삼기에너지솔루션즈,46.9,35,0.0,85,0,1,1,51.1,0,15,1,13.9,20,1,10,10,1,0,15,0,0,10,1,10,10,1,6.0,10,1,0,10,1,33.88,16.12
2026-06-24,089030,테크윙,46.7,36,0.0,75,1,0,1,41.8,8,15,1,20.0,20,1,0,10,0,0,15,0,0,10,1,0,10,1,7.0,10,1,0,10,1,-4.91,-12.02
2026-06-24,032830,삼성생명,46.1,37,0.0,85,1,0,1,57.0,15,15,1,7.2,20,1,10,10,1,0,15,0,0,10,1,0,10,1,7.0,10,1,0,10,1,-14.43,-21.36
2026-06-24,298040,효성중공업,45.5,38,0.0,85,1,0,1,43.0,12,15,1,9.7,20,1,10,10,1,0,15,0,0,10,1,0,10,1,7.0,10,1,0,10,1,2.36,-12.79
2026-06-24,141080,리가켐바이오,45.3,39,0.0,75,0,1,1,52.4,8,15,1,16.0,20,1,0,10,0,0,15,0,0,10,1,4,10,1,6.0,10,1,0,10,1,-6.36,-21.17
2026-06-24,043260,성호전자,44.7,40,0.0,85,0,0,0,37.3,8,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-27.12,-26.29
2026-06-24,010060,OCI홀딩스,44.7,41,0.0,85,0,0,0,35.5,8,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,3.3,-6.7
2026-06-24,039030,이오테크닉스,44.1,42,0.0,85,1,0,1,49.8,8,15,1,12.5,20,1,10,10,1,0,15,0,0,10,1,0,10,1,7.0,10,1,0,10,1,-20.97,-22.2
2026-06-24,010950,S-Oil,43.5,43,0.0,85,0,0,1,46.6,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,1.77,23.11
2026-06-24,218410,RFHIC,43.5,44,0.0,85,0,0,1,36.5,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,-17.47,-23.49
2026-06-24,036570,NC,43.5,45,0.0,85,0,0,1,41.7,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,8.83,2.05
2026-06-24,263750,펄어비스,43.5,46,0.0,85,0,1,0,24.9,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,3.31,2.07
2026-06-24,290690,소룩스,42.7,47,0.0,75,1,1,1,64.0,8,15,1,0.0,20,1,0,10,0,0,15,0,4,10,1,10,10,1,10.0,10,1,0,10,1,-15.05,-12.11
2026-06-24,222800,심텍,42.7,48,0.0,75,1,0,0,50.8,8,15,1,20.0,20,1,0,10,0,0,15,0,0,10,1,0,10,1,4.0,10,1,0,10,1,5.95,4.25
2026-06-24,012450,한화에어로스페이스,42.6,49,0.0,85,0,1,1,43.1,12,15,1,8.2,20,1,10,10,1,0,15,0,0,10,1,0,10,1,6.0,10,1,0,10,1,2.01,-11.61
