date,ret_median,ret_mean,breadth,n_stocks,cum_w,vol_w,regime
2026-06-25,-1.558,-1.567,24.1,2251,,,Unknown
2026-06-29,2.556,3.378,72.5,2625,,,Unknown
2026-06-30,-0.62,0.19,34.8,2624,,,Unknown
2026-07-01,1.422,2.064,69.7,2621,,,Unknown
2026-07-02,-2.048,-2.715,21.9,2621,-0.33,1.76,Sideways
2026-07-06,0.654,1.323,56.2,2621,1.91,1.6,Sideways
2026-07-07,-0.918,-1.283,30.3,2621,-1.54,1.22,Sideways
2026-07-08,-2.672,-2.777,13.1,2620,-3.57,1.55,Bear
2026-07-09,-0.358,0.152,36.8,2620,-5.26,1.19,Bear
2026-07-10,3.494,4.092,84.1,2620,0.1,2.04,High Volatility
2026-07-13,-2.812,-2.88,14.2,2620,-3.35,2.28,High Volatility
2026-07-14,-1.213,-1.13,24.3,2621,-3.64,2.29,High Volatility
2026-07-15,2.596,3.397,80.3,2620,1.58,2.36,High Volatility
2026-07-16,-0.726,-1.048,32.2,2620,1.2,2.39,High Volatility
